2022-05-11 00:37:42.600  INFO [Bluewaterdataservice,38f1b0590c3dfc22,38f1b0590c3dfc22] 44624 --- [http-nio-8888-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:37:42.828  INFO [Bluewaterdataservice,71f1aaebc0cd633b,71f1aaebc0cd633b] 44624 --- [http-nio-8888-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:12.477  INFO [Bluewaterdataservice,85e4ca704021dde5,85e4ca704021dde5] 38880 --- [http-nio-8889-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-11 00:54:12.478  INFO [Bluewaterdataservice,85e4ca704021dde5,85e4ca704021dde5] 38880 --- [http-nio-8889-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-11 00:54:12.479  INFO [Bluewaterdataservice,85e4ca704021dde5,85e4ca704021dde5] 38880 --- [http-nio-8889-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2022-05-11 00:54:12.505  INFO [Bluewaterdataservice,85e4ca704021dde5,85e4ca704021dde5] 38880 --- [http-nio-8889-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:15.122  INFO [Bluewaterdataservice,1704b597004eac8b,1704b597004eac8b] 38880 --- [http-nio-8889-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:27.145  INFO [Bluewaterdataservice,b8b990e9693f26d0,b8b990e9693f26d0] 46728 --- [http-nio-8890-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:27.826  INFO [Bluewaterdataservice,7be05fdcd153bd8a,7be05fdcd153bd8a] 46728 --- [http-nio-8890-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:28.358  INFO [Bluewaterdataservice,5b88a961bf8670de,5b88a961bf8670de] 46728 --- [http-nio-8890-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:28.646  INFO [Bluewaterdataservice,f2b1f60b3189f36f,f2b1f60b3189f36f] 46728 --- [http-nio-8890-exec-7] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:28.899  INFO [Bluewaterdataservice,9f0f19f0f9c410f1,9f0f19f0f9c410f1] 46728 --- [http-nio-8890-exec-8] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:29.332  INFO [Bluewaterdataservice,4413bfbc46a0afc4,4413bfbc46a0afc4] 46728 --- [http-nio-8890-exec-9] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:29.827  INFO [Bluewaterdataservice,80cfe44a0cc95091,80cfe44a0cc95091] 46728 --- [http-nio-8890-exec-10] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:30.064  INFO [Bluewaterdataservice,09ea9b4354c9ab92,09ea9b4354c9ab92] 46728 --- [http-nio-8890-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:30.272  INFO [Bluewaterdataservice,d4de988c63165aa2,d4de988c63165aa2] 46728 --- [http-nio-8890-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:30.503  INFO [Bluewaterdataservice,019d512a9f0546ad,019d512a9f0546ad] 46728 --- [http-nio-8890-exec-3] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:30.712  INFO [Bluewaterdataservice,be7b99f816c09ddc,be7b99f816c09ddc] 46728 --- [http-nio-8890-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:30.952  INFO [Bluewaterdataservice,b773ef4092c7b0d3,b773ef4092c7b0d3] 46728 --- [http-nio-8890-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:54:31.913  INFO [Bluewaterdataservice,3e4f65df6684c98c,3e4f65df6684c98c] 46728 --- [http-nio-8890-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:14.442  INFO [Bluewaterdataservice,462a0ad3303bc1f4,462a0ad3303bc1f4] 44624 --- [http-nio-8888-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:15.062  INFO [Bluewaterdataservice,a1b2952289518a47,a1b2952289518a47] 44624 --- [http-nio-8888-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:15.292  INFO [Bluewaterdataservice,dd5beabf5e3276ae,dd5beabf5e3276ae] 44624 --- [http-nio-8888-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:15.512  INFO [Bluewaterdataservice,80d538e8c87ed5bf,80d538e8c87ed5bf] 44624 --- [http-nio-8888-exec-7] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:15.752  INFO [Bluewaterdataservice,f523eb2917ac2a4e,f523eb2917ac2a4e] 44624 --- [http-nio-8888-exec-8] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:15.972  INFO [Bluewaterdataservice,2a33598a2e2dfd93,2a33598a2e2dfd93] 44624 --- [http-nio-8888-exec-9] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:16.292  INFO [Bluewaterdataservice,ce2adc9e3bcd82b6,ce2adc9e3bcd82b6] 44624 --- [http-nio-8888-exec-10] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:16.602  INFO [Bluewaterdataservice,864cf4ace87496ee,864cf4ace87496ee] 44624 --- [http-nio-8888-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:16.812  INFO [Bluewaterdataservice,618cfe2d9c1ddab6,618cfe2d9c1ddab6] 44624 --- [http-nio-8888-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:17.032  INFO [Bluewaterdataservice,d1f9353bdc28ef84,d1f9353bdc28ef84] 44624 --- [http-nio-8888-exec-3] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:17.362  INFO [Bluewaterdataservice,d0a9da80a7cd0da4,d0a9da80a7cd0da4] 44624 --- [http-nio-8888-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
